,Year,int_tourist_arrivals_millions,domestic_aviation_CO2_emissions_Mt,international_aviation_CO2_emissions_Mt,total_aviation_CO2_emissions_Mt,fossil_fuel_emissions_GtCarbon,land_use_emissions_GtCarbon,total_emissions_GtCarbon,deforestation_emissions_GtCarbon,deforestation_HA,deforestation_emissions_Mg_co2e,shipping_emissions_all_types_Mt_co2,shipping_volume_million_metric_tons,cars_sold_EV,cars_sold_non_EV,cars_sold_total,cement_production_thousand_metric_tons,percent_reporting_happiness,visits_to_US_national_parks,tonnes_fish_landed,passenger_vehicle_emissions_Gt_co2,exports_timber_products_USD,USA_WFH_share,total_municipal_waste_tonnes,outdoor_rec_participation_rate,millions_sales_garden_equipment,paid_fishing_license_holders,paid_hunting_license_holders,participation_in_outdoor_rec_percent,participation_in_outdoor_rec_million,number_of_outdoor_excursions
0,1904,,,,,,,,,,,,,,,,,,0.03685003844033942,,,,,,,,,,,,
1,1905,,,,,,,,,,,,,,,,,,0.04303720538834703,,,,,,,,,,,,
2,1906,,,,,,,,,,,,,,,,,,0.009333572169050756,,,,,,,,,,,,
3,1907,,,,,,,,,,,,,,,,,,0.010055978258617771,,,,,,,,,,,,
4,1908,,,,,,,,,,,,,,,,,,0.0130582686553686,,,,,,,,,,,,
5,1909,,,,,,,,,,,,,,,,,,0.018594170941902646,,,,,,,,,,,,
6,1910,,,,,,,,,,,,,,,,,,0.0529487634946549,,,,,,,,,,,,
7,1911,,,,,,,,,,,,,,,,,,0.059296838307921096,,,,,,,,,,,,
8,1912,,,,,,,,,,,,,,,,,,0.060556927036426206,,,,,,,,,,,,
9,1913,,,,,,,,,,,,,,,,,,0.06621129659377682,,,,,,,,,,,,
10,1914,,,,,,,,,,,,,,,,,,0.06402514798798652,,,,,,,,,,,,
11,1915,,,,,,,,,,,,,,,,,,0.09596429059375457,,,,,,,,,,,,
12,1916,,,,,,,,,,,,,,,,,,0.09969142970421296,,,,,,,,,,,,
13,1917,,,,,,,,,,,,,,,,,,0.13846564531126893,,,,,,,,,,,,
14,1918,,,,,,,,,,,,,,,,,,0.13319079847975593,,,,,,,,,,,,
15,1919,,,,,,,,,,,,,,,,,,0.23851553010810728,,,,,,,,,,,,
16,1920,,,,,,,,,,,,,,,,,,0.3120730188045816,,,,,,,,,,,,
17,1921,,,,,,,,,,,,,,,,,,0.3363759076909621,,,,,,,,,,,,
18,1922,,,,,,,,,,,,,,,,,,0.3471423842464617,,,,,,,,,,,,
19,1923,,,,,,,,,,,,,,,,,,0.4164747438358235,,,,,,,,,,,,
20,1924,,,,,,,,,,,,,,,,,,0.46654090551661437,,,,,,,,,,,,
21,1925,,,,,,,,,,,,,,,,,,0.5802755920608719,,,,,,,,,,,,
22,1926,,,,,,,,,,,,,,,,,,0.6603145839142899,,,,,,,,,,,,
23,1927,,,,,,,,,,,,,,,,,,0.7526512723313133,,,,,,,,,,,,
24,1928,,,,,,,,,,,,,,,,,,0.8255315434848208,,,,,,,,,,,,
25,1929,,,,,,,,,,,,,,,,,,0.9193157920331365,,,,,,,,,,,,
26,1930,,,,,,,,,,,,,,,,,,0.9278719990694579,,,,,,,,,,,,
27,1931,,,,,,,,,,,,,,,,,,0.9824460236016299,,,,,,,,,,,,
28,1932,,,,,,,,,,,,,,,,,,1.084490005681208,,,,,,,,,,,,
29,1933,,,,,,,,,,,,,,,,,,0.9940515415494076,,,,,,,,,,,,
